District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Newington School District,940011,1718.0,1707.0,21046,0.057,0.257,0.534,0.096,0.054,2021-22,,
Newtown School District,970011,1756.0,1753.0,21714,0.023,0.118,0.817,0.023,0.016,2021-22,Fairfield,
Norfolk School District,980011,35.0,35.0,37637,0.0,0.0,0.864,0.0,0.0,2021-22,,
North Branford School District,990011,704.0,704.0,22260,0.0,0.09,0.85,0.018,0.025,2021-22,,
North Canaan School District,1000011,145.0,145.0,24648,0.0,0.151,0.79,0.0,0.029,2021-22,,
North Haven School District,1010011,1448.0,1443.0,19676,0.051,0.128,0.709,0.081,0.028,2021-22,,
North Stonington School District,1020011,330.0,330.0,19441,0.021,0.05,0.889,0.012,0.018,2021-22,,
Norwalk School District,1030011,4872.0,4856.0,22279,0.139,0.553,0.233,0.039,0.034,2021-22,Fairfield,
Norwich School District,1040011,2077.0,2064.0,23831,0.183,0.371,0.278,0.063,0.096,2021-22,New London,
Odyssey Community School District,2630013,216.0,216.0,14497,0.227,0.19,0.27,0.23,0.0,2021-22,,
Old Saybrook School District,1060011,456.0,455.0,26378,0.0,0.14,0.784,0.036,0.034,2021-22,,
Orange School District,1070011,711.0,709.0,18838,0.023,0.073,0.721,0.131,0.052,2021-22,New Haven,
Oxford School District,1080011,744.0,741.0,20026,0.024,0.104,0.828,0.026,0.014,2021-22,New Haven,
Park City Prep Charter School District,2830013,373.0,365.0,16151,0.501,0.413,0.055,0.0,0.0,2021-22,,
Plainfield School District,1090011,851.0,849.0,19064,0.032,0.103,0.815,0.015,0.022,2021-22,Windham,
Plainville School District,1100011,1030.0,1028.0,20255,0.055,0.236,0.629,0.029,0.048,2021-22,Hartford,
Plymouth School District,1110011,578.0,576.0,20079,0.0,0.145,0.766,0.021,0.051,2021-22,,
Pomfret School District,1120011,245.0,245.0,20554,0.0,0.03,0.935,0.0,0.0,2021-22,,
Portland School District,1130011,620.0,618.0,20901,0.039,0.181,0.719,0.014,0.048,2021-22,,
Preston School District,1140011,264.0,265.0,22303,0.0,0.075,0.825,0.023,0.048,2021-22,,
Putnam School District,1160011,506.0,505.0,19433,0.017,0.152,0.814,0.008,0.007,2021-22,Windham,
